ACR CERV,Acropora cervicornis,Staghorn Coral,HARD CORALS,
ACR PALM,Acropora palmata,Elkhorn Coral,HARD CORALS,
ACR PROL,Acropora prolifera,Fused Staghorn,HARD CORALS,
AGA AGAR,Agaricia agaricites,Lettuce Coral,HARD CORALS,
AGA FRAG,Agaricia fragilis,Fragile saucer coral,HARD CORALS,
AGA GRAH,Agaricia grahamae,Graham's Sheet Coral,HARD CORALS,
AGA HUMI,Agaricia humilis,Agaricia humilis,HARD CORALS,
AGA LAMA,Agaricia lamarcki,Lamarck's Sheet Coral,HARD CORALS,
AGA SPE.,Agaricia spp,Agaricia spp,HARD CORALS,
AGA TENU,Agaricia tenuifolia,Thin Leaf Lettuce Coral,HARD CORALS,
CAR SPE.,Caryophyllia n. spp,Button Cup Coral,HARD CORALS,
CLA ABRU,Cladocora abruscula,Tube Coral,HARD CORALS,
COL NATA,Colpophyllia natans,Boulder Brain Coral,HARD CORALS,
COL SPE.,Colpophyllia spp,Brain Coral,HARD CORALS,
DEN CYLI,Dendrogyra cylindrus,Pillar Coral,HARD CORALS,
DIC STOK,Dichocoenia stokesii,Elliptical Star Coral,HARD CORALS,
DIP LABY,Diploria labyrinthiformis,Grooved Brain Coral,HARD CORALS,
DIP SPE.,Diploria spp,Diploria  spp,HARD CORALS,
EUS FAST,Eusmilia fastigiata,Smooth Flower Coral,HARD CORALS,
FAV FRAG,Favia fragum,Golfball Coral,HARD CORALS,
HEL CUCU,Helioceris cucullata,Sunray Lettuce Coral,HARD CORALS,
ISO RIGI,Isophyllastrea rigida,Rough Star Coral,HARD CORALS,
ISO SINU,Isophyllia sinuosa,Sinuous Cactus Coral,HARD CORALS,
MAD AURE,Madracis auretenra,Yellow Pencil Coral,HARD CORALS,
MAD DECA,Madracis decactis,Ten-Ray Star Coral,HARD CORALS,
MAD FORM,Madracis formosa,Eigth-Ray Finger Coral,HARD CORALS,
MAD PHAR,Madracis pharensis,Star Coral,HARD CORALS,
MAD SENA,Madracis senaria,Six-Ray Star Coral,HARD CORALS,
MAD SPE.,Madracis spp,Madracis spp,HARD CORALS,
MAN AREO,Manicina areolata,Rose Coral,HARD CORALS,
MEA DANA,Meandrina danae,Butterprint Maze Coral,HARD CORALS,
MEA MEAN,Meandrina meandrites,Maze Coral,HARD CORALS,
MEA SPE.,Meandrina spp,Meandrina spp,HARD CORALS,
MEAN JACK,Meandrina jacksoni,Jackson Maze Coral,HARD CORALS,
MON CAVE,Montastraea cavernosa,Great Star Coral,HARD CORALS,
MUS ANGU,Mussa angulosa,Spiny Flower Coral,HARD CORALS,
MYC ALIC,Mycetophyllia aliciae,Knobby Cactus Coral,HARD CORALS,
MYC DANA,Mycetophyllia danaana,Lowridge Cactus Coral,HARD CORALS,
MYC FERO,Mycetophyllia ferox,Rough Cactus Coral,HARD CORALS,
MYC LAMA,Mycetophyllia lamarckiana,Ridged Cactus Coral,HARD CORALS,
MYC REES,Mycetophyllia reesi,Ridgeless Cactus Coral,HARD CORALS,
MYC SPE.,Mycetophyllia spp,Mycetophyllia spp,HARD CORALS,
OCU DIFF,Oculina diffusa,Diffuse Ivory Bush Coral,HARD CORALS,
OCU ROBU,Oculina robusta,Robust Ivory Tree Coral,HARD CORALS,
OCU VALE,Oculina valenciennesi,Ivory Tree Coral,HARD CORALS,
ORB ANCX,Orbicella annularis Complex,Boulder Star Coral Complex,HARD CORALS,
ORB ANNU,Orbicellal annularis,Boulder Star Coral,HARD CORALS,
ORB FAVE,Orbicella faveolata,Mountainous Star Coral,HARD CORALS,
ORB FRAN,Orbicella franksi,Boulder Star Coral,HARD CORALS,
ORB SPE.,Montastraea,Star Coral,HARD CORALS,
