Code,ScientificName,CommonName,Proofing Code,Rank,Short Code
ACR CERV,Acropora cervicornis,Staghorn Coral,Acropora cervicornis,38,ACER
ACR PALM,Acropora palmata,Elkhorn Coral,Acropora palmata,43,APAL
ACR PROL,Acropora prolifera,Fused Staghorn,Acropora prolifera,87,APRO
AGA AGAR,Agaricia agaricites,Lettuce Coral,Agaricia agaricites,27,AAGA
AGA FRAG,Agaricia fragilis,Fragile saucer coral,Agaricia fragilis,56,AFRA
AGA GRAH,Agaricia grahamae,Graham's Sheet Coral,Agaricia grahamae,57,AGRA
AGA HUMI,Agaricia humilis,Agaricia humilis,Agaricia humilis,44,AHUM
AGA LAMA,Agaricia lamarcki,Lamarck's Sheet Coral,Agaricia lamarcki,37,ALAM
AGA SPE.,Agaricia spp,Agaricia spp,Agaricia spp,48,AGSP
AGA TENU,Agaricia tenuifolia,Thin Leaf Lettuce Coral,Agaricia tenuifolia,66,ATEN
BAR SUB.,Bare Substrate,Bare Substrate,Bare Substrate,2,BARE
CAR SPE.,Caryophyllia n. spp,Button Cup Coral,Caryophyllia n. spp,89,CASP
CLA ABRU,Cladocora abruscula,Tube Coral,Cladocora abruscula,90,CABR
CLI SPE.,Cliona spp,Cliona species,Cliona Sponge,26,CLIO
COL NATA,Colpophyllia natans,Boulder Brain Coral,Colpophyllia natans,25,CNAT
COL SPE.,Colpophyllia spp,Brain Coral,Colpophyllia spp,67,COSP
CYA SPE.,Cyanophyta spp,Cyanobacteria,Cyanobacteria,8,CYAN
DEN CYLI,Dendrogyra cylindrus,Pillar Coral,Dendrogyra cylindrus,51,DCYL
DIC STOK,Dichocoenia stokesii,Elliptical Star Coral,Dichocoenia stokesii,34,DSTO
DIC SPE.,Dictyota spp,Dictyota,Dictyota,3,DICT
DIP LABY,Diploria labyrinthiformis,Grooved Brain Coral,Diploria labyrinthiformis,39,DLAB
DIP SPE.,Diploria spp,Diploria spp,Diploria spp,52,DISP
EUS FAST,Eusmilia fastigiata,Smooth Flower Coral,Eusmilia fastigiata,50,EFAS
FAV FRAG,Favia fragum,Golfball Coral,Favia fragum,68,FFRA
GOR GORG,Gorgonacea plumes/rods/whips,Gorgonians,Gorgonian Upright,10,GOUP
GOR ENCR,Gorgonians Encrusting,Encrusting Gorgonian,Gorgonian Encrusting,13,GOEN
HAL SPE.,Halimeda spp,Halimeda,Halimeda spp,11,HALI
HEL CUCU,Helioceris cucullata,Sunray Lettuce Coral,Helioceris cucullata,53,HCUC
ISO RIGI,Isophyllia rigida,Rough Star Coral,Isophyllia rigida,78,IRIG
ISO SINU,Isophyllia sinuosa,Sinuous Cactus Coral,Isophyllia sinuosa,76,ISIN
ISO SPE.,Isophyllia spp,Isophyllia spp,Isophyllia spp,77,ISSP
LOB SPE.,Lobophora spp,Lobophora,Lobophora spp,6,LOBO
MAC CALC,Macro Calcareous,Macro Calcareous,Macro Calcareous,20,MACC
MAC FLES,Macro Fleshy,Macro Fleshy,Macro Fleshy,5,MACF
MAD AURE,Madracis auretenra,Yellow Pencil Coral,Madracis auretenra,36,MAUR
MAD CARM,Madracis carmabi,Stubby Star Coral,Madracis carmabi,84,MCAR
MAD DECA,Madracis decactis,Ten-Ray Star Coral,Madracis decactis,35,MDEC
MAD FORM,Madracis formosa,Eigth-Ray Finger Coral,Madracis formosa,85,MFOR
MAD PHAR,Madracis pharensis,Star Coral,Madracis pharensis,80,MPHA
MAD SENA,Madracis senaria,Six-Ray Star Coral,Madracis senaria,91,MSEN
MAD SPE.,Madracis spp,Madracis spp,Madracis spp,55,MASP
MAG SPE.,Magnoliophyta spp,Seagrass,Seagrass,18,SEAG
MAN AREO,Manicina areolata,Rose Coral,Manicina areolata,62,MARE
MEA DANA,Meandrina danae,Butterprint Maze Coral,Meandrina danae,92,MDAN
MEA JACK,Meandrina jacksoni,Jackson Maze Coral,Meandrina jacksoni,70,MJACK
MEA MEAN,Meandrina meandrites,Maze Coral,Meandrina meandrites,33,MMEA
MEA SPE.,Meandrina spp,Meandrina spp,Meandrina spp,72,MESP
MIL SPE.,Millepora spp,Fire Coral spp,Millepora spp,19,MILL
MON CAVE,Montastraea cavernosa,Great Star Coral,Montastraea cavernosa,21,MCAV
MUS ANGU,Mussa angulosa,Spiny Flower Coral,Mussa angulosa,58,MANG
MYC ALIC,Mycetophyllia aliciae,Knobby Cactus Coral,Mycetophyllia aliciae,54,MALI
MYC DANA,Mycetophyllia danaana,Lowridge Cactus Coral,Mycetophyllia danaana,81,MYDA
MYC FERO,Mycetophyllia ferox,Rough Cactus Coral,Mycetophyllia ferox,69,MFER
MYC LAMA,Mycetophyllia lamarckiana,Ridged Cactus Coral,Mycetophyllia lamarckiana,74,MLAM
MYC REES,Mycetophyllia reesi,Ridgeless Cactus Coral,Mycetophyllia reesi,75,MREE
MYC SPE.,Mycetophyllia spp,Mycetophyllia spp,Mycetophyllia spp,82,MYCET
OCU DIFF,Oculina diffusa,Diffuse Ivory Bush Coral,Oculina diffusa,64,ODIF
OCU ROBU,Oculina robusta,Robust Ivory Tree Coral,Oculina robusta,83,OROB
OCU SPE.,Oculina species,Tree coral species,Oculina species,47,OCSP
OCU VALE,Oculina valenciennesi,Ivory Tree Coral,Oculina valenciennesi,93,OVAL
ORB ANCX,Orbicella annularis Complex,Boulder Star Coral Complex,Orbicella Complex,49,OX
ORB FAVE,Orbicella faveolata,Mountainous Star Coral,Orbicella faveolata,17,OFAV
ORB FRAN,Orbicella franksi,Boulder Star Coral,Orbicella franksi,12,OFRA
ORB ANNU,Orbicella annularis,Boulder Star Coral,Orbicella annularis,31,OANN
OTH CORA,Other Coral Species,Other Coral Species,Other Coral Species,59,OCOR
OTH SPE.,Other spp,Other species,Other,30,OTHER
PAL SPE.,Palythoa spp,Zoanthids,Palythoa spp,23,PALY
PEY SPE.,Peysonnellia,Peysonnellia,Peysonnellia,16,PEYS
PHY AMER,Phyllangia americana,Hidden Cup Coral,Phyllangia americana,94,PAME
SPO OTHE,Porifera spp,Sponges other,Sponge,7,SPO
POR ASTR,Porites astreoides,Mustard Hill Coral,Porites astreoides,14,PAST
POR BRAN,Porites branneri,Blue Crust Coral,Porites branneri,95,PBRA
POR COLO,Porites colonensis,Honeycomb Plate Coral,Porites colonensis,79,PCOL
POR DIVA,Porites divaricata,Porites divaricata,Porites divaricata,41,PDIV
POR FURC,Porites furcata,Porites furcata,Porites furcata,40,PFUR
POR PORI,Porites porites,Finger Coral,Porites porites,29,PPOR
POR SPE.,Porites spp,Porites spp,Porites spp,46,POSP
PSE SPE.,Pseudodiploria species,Brain coral species,Pseudodiploria species,60,PSSP
PSE CLIV,Pseudodiploria clivosa,Knobby Brain Coral,Pseudodiploria clivosa,42,PCLI
PSE STRI,Pseudodiploria strigosa,Symmetrical Brain Coral,Pseudodiploria strigosa,24,PSTR
RAM SPE.,Ramicrusta spp,Ramicrustam,Ramicrusta spp,22,RAMI
RHO CRUS,Rhodophyta cru. spp,CCA Crustose Coralline Algae,CCA Crustose Coralline Algae,9,CCA
SCL SPE.,Scleractinia spp,Unknown Coral,Scleractinian Coral,88,UNK
SCO CUBE,Scolymia cubensis,Artichoke Coral,Scolymia cubensis,63,SCUB
SCO LACE,Scolymia lacera,Atlantic Mushroom Coral,Scolymia lacera,86,SLAC
SCO SPE.,Scolymia spp,Scolymia spp,Scolymia spp,71,SCOL
SID RADI,Siderastrea radians,Lesser Starlet Coral,Siderastrea radians,32,SRAD
SID SIDE,Siderastrea siderea,Massive Starlet Coral,Siderastrea siderea,15,SSID
SID SPE.,Siderastrea spp,Starlett Coral,Siderastrea spp,61,SISP
SOL BOUR,Solenastrea bournoni,Smooth Star Coral,Solenastrea bournoni,45,SBOU
SOL SPE.,Solenastrea spp,Solenastrea spp,Solenastrea spp,65,SOSP
STE INTE,Stephanocoenia intersepta,Blushing Star Coral,Stephanocoenia intersepta,28,SINT
TUB COCC,Tubastraea coccinea,Orange Cup Coral,Tubastraea coccinea,73,TCOC
TUR FREE,Turf Algae Free of Sediment,Turf Algae Free of Sediment,Turf No Sediment,4,TNS
TUR SEDI,Turf Algae with Sediment,Turf Algae with Sediment,Turf with Sediment,1,TWS
ORB SPE.,Montastraea ,Star Coral Species,Orbicella spp,96,ORBS
SOL HYAD,Solenastrea hyades,Knobby Star Coral,Solenastrea hyades,97,SHYA
