ABU SAXA,Abudefduf saxatilis,sergeant major,18,2,100
ACA ASPE,Acanthemblemaria aspera,roughhead blenny,4,1,20
ACA BAHI,Acanthurus bahianus,ocean surgeon,38,2,50
ACA CHAP,Acanthemblemaria chaplini,papillose blenny,5,1,20
ACA CHIR,Acanthurus chirurgus,doctorfish,36,2,50
ACA COER,Acanthurus coeruleus,blue tang,38,2,50
ACA MARI,Acanthemblemaria maria,secretary blenny,5,1,5
ACA POLY,Acanthostracion polygonia,honeycomb cowfish,46,5,5
ACA QUAD,Acanthostracion quadricornis,scrawled cowfish,46,5,5
ACA SPE.,Acanthurus sp.,surgeonfish species,38,2,50
ACA SPIN,Acanthemblemaria spinosa,spinyhead blenny,5,1,5
AET NARI,Aetobatus narinari,spotted eagle ray,244,50,10
ALB VULP,Albula vulpes,bonefish,50,10,2
ALE CILI,Alectis ciliaris,African pompano,110,10,5
ALP AFER,Alphestes afer,mutton hamlet,30,10,10
ALU MONO,Aluterus monoceros,unicorn filefish,60,1,5
ALU SCHO,Aluterus schoepfii,orange filefish,51,10,5
ALU SCRI,Aluterus scriptus,scrawled filefish,91,30,5
ALU SPE.,Aluterus sp.,filefish species,60,1,5
AMB PINO,Amblycirrhitus pinos,redspotted hawkfish,10,2,5
ANC LYOL,Anchoa lyolepis,dusky anchovy,9,1,1000
ANI SURI,Anisotremus surinamensis,black margate,60,15,5
ANI VIRG,Anisotremus virginicus,porkfish,36,3,30
ANT OCEL,Antennarius ocellatus,ocellated frogfish,38,1,5
APO AURO,Apogon aurolineatus,bridle cardinalfish,7,1,5
APO BINO,Apogon binotatus,barred cardinalfish,12,1,5
APO MACU,Apogon maculatus,flamefish,12,1,5
APO PHEN,Apogon phenax,mimic cardinalfish,12,1,5
APO PSEU,Apogon pseudomaculatus,twospot cardinalfish,12,1,5
APO QUAD,Apogon quadrisquamatus,sawcheek cardinalfish,7,1,5
APO TOWN,Apogon townsendi,belted cardinalfish,7,1,5
ARC PROB,Archosargus probatocephalus,sheepshead,91,5,10
ARC RHOM,Archosargus rhomboidalis,sea bream,33,5,10
AST GUTT,Astroscopus guttatus,northern stargazer,50,1,20
AST PUNC,Astrapogon puncticulatus,blackfin cardinalfish,12,1,5
AST SPE.,Astrapogon sp.,cardinalfish species,12,1,5
AST STEL,Astrapogon stellatus,conchfish,8,1,5
ATH STIP,Atherinomorus stipes,hardhead silverside,10,1,1000
AUL MACU,Aulostomus maculatus,Atlantic trumpetfish,91,15,5
BAL CAPR,Balistes capriscus,gray triggerfish,30,15,10
BAL SPE.,Balistes sp.,triggerfish species,60,5,50
BAL VETU,Balistes vetula,queen triggerfish,61,15,10
BLE SPE.,blenny species,blenny species,10,1,50
BOD PULC,Bodianus pulchellus,spotfin hogfish,23,3,25
BOD RUFU,Bodianus rufus,Spanish hogfish,60,3,5
BOL BOQU,Bollmannia boqueronensis,white-eye goby,5,1,5
BOT LUNA,Bothus lunatus,peacock flounder,45,10,5
BOT OCEL,Bothus ocellatus,eyed flounder,15,10,5
BRO BARB,Brotula barbata,Atlantic bearded brotula,70,10,1
CAL BAJO,Calamus bajonado,jolthead porgy,60,5,10
CAL CALA,Calamus calamus,saucereye porgy,41,3,10
CAL NODO,Calamus nodosus,knobbed porgy,50,5,10
CAL PENN,Calamus penna,sheepshead porgy,46,5,10
CAL PROR,Calamus proridens,littlehead porgy,46,5,10
CAL SPE.,porgy species,porgy species,30,5,10
CAN MACR,Cantherhines macrocerus,whitespotted filefish,46,10,5
CAN PULL,Cantherhines pullus,orangespotted filefish,22,10,5
CAN ROST,Canthigaster rostrata,sharpnose puffer,11,2,15
CAN SUFF,Canthidermis sufflamen,ocean triggerfish,61,20,20
CAR BART,Caranx bartholomaei,yellow jack,100,20,10
CAR CRYS,Caranx crysos,blue runner,50,5,100
CAR FALC,Carcharhinus falciformis,silky shark,350,100,3
CAR HIPP,Caranx hippos,crevalle jack,150,25,100
CAR LATU,Caranx latus,horse-eye jack,75,25,100
CAR LEUC,Carcharhinus leucas,bull shark,350,100,3
CAR LIMB,Carcharhinus limbatus,blacktip shark,250,100,3
CAR LUGU,Caranx lugubris,black jack,100,25,100
CAR PERE,Carcharhinus perezii,reef shark,300,100,3
CAR RUBE,Caranx ruber,bar jack,60,5,100
CAR SPE.,Caranx sp.,jack species,100,1,100
CEN ARGI,Centropyge argi,cherubfish,8,1,10
CEN UNDE,Centropomus undecimalis,common snook,120,30,5
CEP CRUE,Cephalopholis cruentata,graysby,30,8,5
CEP FULV,Cephalopholis fulva,coney,41,10,5
CHA CAPI,Chaetodon capistratus,foureye butterflyfish,15,2,10
CHA FABE,Chaetodipterus faber,Atlantic spadefish,91,20,30
CHA LIMB,Chaenopsis limbaughi,yellowface pikeblenny,9,1,20
CHA OCEL,Chaetodon ocellatus,spotfin butterflyfish,20,2,10
CHA SEDE,Chaetodon sedentarius,reef butterflyfish,15,3,10
CHA STRI,Chaetodon striatus,banded butterflyfish,15,2,10
CHI ANTE,Chilomycterus antennatus,bridled burrfish,23,5,10
CHI SCHO,Chilomycterus schoepfii,striped burrfish,25,5,10
CHR ATHE,Chriodorus atherinoides,hardhead halfbeak,25,5,5
CHR CYAN,Chromis cyanea,blue chromis,13,2,75
CHR ENCH,Chromis enchrysura,yellowtail reeffish,10,1,25
CHR INSO,Chromis insolata,sunshinefish,10,1,20
CHR MULT,Chromis multilineata,brown chromis,17,2,75
CHR SCOT,Chromis scotti,purple reeffish,10,2,50
CLE PARR,Clepticus parrae,creole wrasse,30,2,100
COR DICR,Coryphopterus dicrus,colon goby,5,1,5
COR EIDO,Coryphopterus eidolon,pallid goby,5,1,5
COR GLAU,Coryphopterus glaucofraenum,bridled goby,8,2,100
COR LIPE,Coryphopterus lipernes,peppermint goby,3,1,5
COR PERS,Coryphopterus personatus,masked goby,4,1,500
COR PUNC,Coryphopterus punctipectophorus,spotted goby,5,1,5
COR SPE.,Coryphopterus sp.,goby species,5,1,50
CRY ROSE,Cryptotomus roseus,bluelip parrotfish,13,3,20
CTE SAEP,Ctenogobius saepepallens,dash goby,5,1,5
DAS AMER,Dasyatis americana,southern stingray,180,30,5
DEC MACA,Decapterus macarellus,mackerel scad,30,5,100
DEC PUNC,Decapterus punctatus,round scad,23,5,100
DER INER,Dermatolepis inermis,marbled grouper,91,50,2
DIO HOLO,Diodon holocanthus,balloonfish,50,5,10
DIO HYST,Diodon hystrix,porcupinefish,91,5,10
DIO SPE.,puffer species,puffer species,50,5,10
DIP ARGE,Diplodus argenteus,silver porgy,30,5,10
DIP FORM,Diplectrum formosum,sand perch,30,3,5
DIP HOLB,Diplodus holbrookii,spottail pinfish,46,5,10
DOR MEGA,Doratonotus megalepis,dwarf wrasse,8,3,25
ECH NAUC,Echeneis naucrates,sharksucker,90,10,2
