ABU SAXA,Abudefduf saxatilis,sergeant major,18,,
ACA ASPE,Acanthemblemaria aspera,roughhead blenny,4,,
ACA BAHI,Acanthurus bahianus,ocean surgeon,38,,
ACA CHAP,Acanthemblemaria chaplini,papillose blenny,5,,
ACA CHIR,Acanthurus chirurgus,doctorfish,36,,
ACA COER,Acanthurus coeruleus,blue tang,38,,
ACA MARI,Acanthemblemaria maria,secretary blenny,5,,
ACA POLY,Acanthostracion polygonia,honeycomb cowfish,46,,
ACA QUAD,Acanthostracion quadricornis,scrawled cowfish,46,,
ACA SPE.,Acanthurus sp.,surgeonfish species,38,,
ACA SPIN,Acanthemblemaria spinosa,spinyhead blenny,4,,
AET NARI,Aetobatus narinari,spotted eagle ray,244,,
ALB VULP,Albula vulpes,bonefish,104,,
ALE CILI,Alectis ciliaris,African pompano,110,,
ALP AFER,Alphestes afer,mutton hamlet,30,,
ALU MONO,Aluterus monoceros,unicorn filefish,60,,
ALU SCHO,Aluterus schoepfii,orange filefish,51,,
ALU SCRI,Aluterus scriptus,scrawled filefish,91,,
ALU SPE.,Aluterus sp.,filefish species,60,,
AMB PINO,Amblycirrhitus pinos,redspotted hawkfish,10,,
ANC LYOL,Anchoa lyolepis,dusky anchovy,9,,
ANI SURI,Anisotremus surinamensis,black margate,60,,
ANI VIRG,Anisotremus virginicus,porkfish,36,,
ANT OCEL,Antennarius ocellatus,ocellated frogfish,38,,
APO AURO,Apogon aurolineatus,bridle cardinalfish,7,,
APO BINO,Apogon binotatus,barred cardinalfish,12,,
APO MACU,Apogon maculatus,flamefish,12,,
APO PHEN,Apogon phenax,mimic cardinalfish,7,,
APO PSEU,Apogon pseudomaculatus,twospot cardinalfish,12,,
APO QUAD,Apogon quadrisquamatus,sawcheek cardinalfish,7,,
APO TOWN,Apogon townsendi,belted cardinalfish,7,,
ARC PROB,Archosargus probatocephalus,sheepshead,91,,
ARC RHOM,Archosargus rhomboidalis,sea bream,33,,
AST GUTT,Astroscopus guttatus,northern stargazer,56,,
AST PUNC,Astrapogon puncticulatus,blackfin cardinalfish,7,,
AST SPE.,Astrapogon sp.,cardinalfish species,12,,
AST STEL,Astrapogon stellatus,conchfish,8,,
