SPP_CD,sci_name,common_name,min_size,max_size,max_num,rank
ABL HIAN,Ablennes hians,flat needlefish,20,70,50,265
ABU SAXA,Abudefduf saxatilis,sergeant major,2,18,100,40
ABU TAUR,Abudefduf taurus,night sergeant,2,18,100,266
ACA ASPE,Acanthemblemaria aspera,roughhead blenny,1,4,20,127
ACA BAHI,Acanthurus bahianus,ocean surgeon,2,38,50,6
ACA CHAP,Acanthemblemaria chaplini,papillose blenny,1,5,20,248
ACA CHIR,Acanthurus chirurgus,doctorfish,2,36,50,16
ACA COER,Acanthurus coeruleus,blue tang,2,38,50,10
ACA MARI,Acanthemblemaria maria,secretary blenny,1,5,5,267
ACA POLY,Acanthostracion polygonia,honeycomb cowfish,5,46,5,118
ACA QUAD,Acanthostracion quadricornis,scrawled cowfish,5,46,5,114
ACA SOLA,Acanthocybium solandri,wahoo,50,210,3,269
ACA SPE.,Acanthurus sp.,surgeonfish species,2,38,50,136
ACA SPIN,Acanthemblemaria spinosa,spinyhead blenny,1,5,5,217
ACE DEND,Acentronura dendritica,pipehorse,1,8,5,270
ACN SPE.,Acanthemblemaria species,tube blenny Acanthemblemaria,1,5,5,268
AET NARI,Aetobatus narinari,spotted eagle ray,50,244,10,189
AHL EGMO,Ahlia egmontis,key worm eel,20,38,2,271
ALB VULP,Albula vulpes,bonefish,10,50,2,272
ALE CILI,Alectis ciliaris,African pompano,10,110,5,244
ALP AFER,Alphestes afer,mutton hamlet,10,30,10,213
ALU MONO,Aluterus monoceros,unicorn filefish,1,60,5,273
ALU SCHO,Aluterus schoepfii,orange filefish,10,51,5,172
ALU SCRI,Aluterus scriptus,scrawled filefish,30,91,5,88
ALU SPE.,Aluterus sp.,filefish species,1,60,5,274
AMB PINO,Amblycirrhitus pinos,redspotted hawkfish,2,10,5,216
ANC LYOL,Anchoa lyolepis,dusky anchovy,1,9,1000,275
ANI SURI,Anisotremus surinamensis,black margate,15,60,5,115
ANI VIRG,Anisotremus virginicus,porkfish,3,36,30,28
ANT OCEL,Antennarius ocellatus,ocellated frogfish,1,38,5,276
APO AURO,Apogon aurolineatus,bridle cardinalfish,1,7,5,277
APO BINO,Apogon binotatus,barred cardinalfish,1,12,5,175
APO LACH,Apogon lachneri,whitestar cardinalfish,1,12,5,278
APO MACU,Apogon maculatus,flamefish,1,12,5,154
APO PHEN,Apogon phenax,mimic cardinalfish,1,12,5,279
APO PSEU,Apogon pseudomaculatus,twospot cardinalfish,1,12,5,137
APO QUAD,Apogon quadrisquamatus,sawcheek cardinalfish,1,7,5,280
APO TOWN,Apogon townsendi,belted cardinalfish,1,7,5,188
ARC PROB,Archosargus probatocephalus,sheepshead,5,91,10,281
ARC RHOM,Archosargus rhomboidalis,sea bream,5,33,10,161
